[BACKFILL] Markets to process: 360 (limit=2000, geo_only=True, dry_run=True)
[DRY-RUN][CLOB-ASSERT] 0xb98f79bbe554133c77... 'Will Iran strike Israel on March 5?' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xbb2753ceb17c793035... 'Will Donald Trump say "border" during Is' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xbe7131f857f854ae8d... 'Will Trump talk to Jair Bolsonaro in Oct' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xbf37aaf85117c05dcb... 'Will Makalé Camara win the 2025 Guinean ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xbf94f3bd13dd1641db... 'Will Phil Weiser win the Colorado Govern' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xbfff1c8bf34207d78d... 'Will Donald Trump say "hell" during Ukra' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xc02886e2161b789603... 'Will Andy Burnham win the 2026 Makerfiel' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xc05733ff4abddbf855... 'Will Fujimori win the 2nd round of the 2' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xc07aead761a45bcd98... 'Will Donald Trump say "tariff" during Uk' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xc432af9280482e26f7... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xc4e55f04f4b9d0f898... 'Will Iran strike a Gulf State on March 5' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xc8b51854e0903a4ae7... 'Will Barbara Kirkmeyer win the Colorado ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xc937a7b568c0861b62... 'Will Catherine Connolly win the Irish Pr' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xca3af960f7ce5bb841... 'Will Donald Trump say "Donbas" or "Crime' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xcc7226e019e769b68c... 'Will Iran claim responsibility for Oslo ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xcf11482b4f1e7707d8... 'Will Donald Trump say "Thousand," "Milli' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xcffd90a1bb9b1a0918... 'Will Fujimori win the 2nd round of the 2' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xd0e62a962f3198fde6... 'Will Doug Burgum be the first to leave t' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xd28b5c3b00f5346c5d... 'Will John Skipworth win the 2026 Makerfi' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xd32cda436b37f2dddd... 'Will Nasry Juan Asfura Zablah win the 20' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xd3635a3419bcccea33... 'Will Brooke Pinto win the 2026 Democrati' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[BACKFILL] Progress: 300/360 — updated=182, not_found=117, skipped=0, errors=0
[DRY-RUN][CLOB-ASSERT] 0xd6474a9916c0f51b6d... 'US forces enter Iran by January 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0xd6fa28dce85f3fd0c3... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xd7540d64e03b1894ec... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xd7e2d49bb1c6819ea7... 'Will Donald Trump say the N-word during ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xda26f4dba3e89da7b8... 'Will Iran strike a Gulf State on March 1' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xda77c4d3089e6746ee... 'Will Trump say "Russia" during Diwali Ce' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xdba270dd6b3f42281d... 'Will Andy Burnham win the 2026 Makerfiel' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xdbc36161e346ab332c... 'Will Trump talk to Elon Musk in October?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xdbf40215541bf867c4... 'Will Trump talk to Luiz Inácio Lula da S' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xdc13285057d1be111c... 'Will Trump say "Trillion / Billion / Mil' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xde296740dae16572bf... 'Will Emmanuel Macron visit Venezuela by ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xde7d04363a3ccbb4a2... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xe2abc7b99067945a75... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xe2b19fb8d5a69727d6... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xe3bc10985dced6ccc4... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xe4993c046014cc672f... 'Will the next Dutch government be GL/Pvd' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xe59619ba3a363c42a9... 'Will David Belliard win the Paris mayor ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xe8054b2f43f0d8c167... 'Will Piráti get between 5% and 8% of the' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xe96d90c07572ae1f1b... 'Will Catherine Connolly win the Irish Pr' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xee73ea99f126df52a3... 'Will the Conservative Party win between ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xee7ddfaf60b6938800... 'Will Trump say "Tariff" during Diwali Ce' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xef1a05315e15b48e84... 'Will Donald Trump say "eighth war" or "e' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xef40614f8bf95a9e75... 'Will Trump say "FBI" during ANTIFA Round' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xef904c695153f74bf0... 'Will Nasry Juan Asfura Zablah win the 20' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xf53121b46c9f35ebae... 'Will Donald Trump say "NATO" 3+ times du' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xf57615e15797c8fa39... 'Will 9 judges rule in favor of Trump's T' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xf6cf2744cab27c2088... 'Will the California redistricting refere' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xf7ad79d04f2dc95740... 'US announces new Iran agreement/ceasefir' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xf8b914c55a23b2d692... 'Will the U.S. tariff rate on China be le' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xf981fb146169eac1cf... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xfc19590ddd9f305c63... 'Will Donald Trump say "Biden" 3+ times d' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xfcb24dab90b784bd9e... 'Will STAČILO! get between 11% and 14% of' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0xfd275579a551279b39... 'Will Donald Trump say "Tomahawk" during ' → end_date=None, winning_outcome='No', accepted=True, reason='written'

[BACKFILL] Done — updated=215, not_found=145, skipped_no_api_id=0, errors=0, resolved_accepted=215, resolved_rejected=0, total=360
