idx,market_id,title,market_slug,event_slug,event_title,stratum,stored_label,classifier_call,batch_position,title_len,has_slug_context,m9_keyword_path,provisional_verdict,subtype,provisional_reason
65,0x874085a677b21582313e8d554c9093877da981b925bc33fe503789072188f8de,Will Linda McMahon be the first to leave the Trump Cabinet before 2027?,will-linda-mcmahon-be-the-first-to-leave-the-trump-cabinet-before-2027-163,who-will-be-the-first-to-leave-the-trump-cabinet-828,Who will be the first to leave the Trump Cabinet?,live_monitoring,Elections,NotRelevant,12,71,Y,Y,CLASSIFIER_MISS,official-staffing,cabinet departure order
66,0xac52d40481f2e827216777035ccb86a26502095a5260f3cff5b8e1eddcb1f34e,"Will Donald Trump post 20-39 Truth Social posts from May 29 to June 5, 2026?",donald-trump-of-truth-social-posts-may-29-june-5-20-39,donald-trump-of-truth-social-posts-may-29-june-5,"Donald Trump # Truth Social posts May 29 - June 5, 2026?",live_monitoring,Elections,NotRelevant,14,76,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
67,0xad2322b0393370f56bb8fc7352e57d31033353344d187446ad8ab300ed0eb96c,"Will Trump say ""Elon"" 5 or more times during Michigan rally on October 25?",will-trump-say-elon-5-or-more-times-during-michigan-rally-on-october-25,what-will-trump-say-during-michigan-rally-oct-25,What will Trump say during Michigan rally?,live_monitoring,Elections,NotRelevant,15,74,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a campaign rally
68,0xad2857ab028c7fbfbc68afc3237bae9dd41a18779bd22f33423087804c64ab1a,"Will anyone say ""Immigrant"" or ""Migrant"" 10+ times during 2nd NYC mayoral debate on October 22?",will-anyone-say-immigrant-or-migrant-10-times-during-2nd-nyc-mayoral-debate-on-october-22,what-will-be-said-at-2nd-nyc-mayoral-debate,What will be said at 2nd NYC mayoral debate?,live_monitoring,Elections,NotRelevant,18,95,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to an official NYC mayoral debate
69,0xadead85ecce93271522ec40b8ebfe3416899f2b8a77584ef06a3bb25c95e963a,"Will Donald Trump post 140-159 Truth Social posts from February 17 to February 24, 2026?",donald-trump-of-truth-social-posts-february-17-february-24-140-159,donald-trump-of-truth-social-posts-february-17-february-24,"Donald Trump # Truth Social posts February 17 - February 24, 2026?",live_monitoring,Elections,NotRelevant,13,88,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
70,0xb661ffa7fe2e634da9821d7a12a27ef21329c44302fdb5e5a13c754f81e0984f,"Will Donald Trump post 0-19 Truth Social posts from April 24 to May 1, 2026?",donald-trump-of-truth-social-posts-april-24-may-1-0-19,donald-trump-of-truth-social-posts-april-24-may-1,"Donald Trump # Truth Social posts April 24 - May 1, 2026?",live_monitoring,Elections,NotRelevant,13,76,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
71,0xbd917a2f3a3edb6c1a1166b5aece23d21333db148b81402f6ad724f74d4adb02,Will Donald Trump visit Michigan in 2026?,will-donald-trump-visit-michigan-in-2026,which-states-will-donald-trump-visit-in-2026,Which states will Donald Trump visit in 2026?,live_monitoring,Elections,NotRelevant,20,41,Y,Y,CLASSIFIER_MISS,official-travel,presidential state-visit travel
72,0xbf41c2452187f46fab6c463c801c5205d1b574409896ff406fb2a201dbb1abda,"Will Donald Trump post 60-79 Truth Social posts from June 2 to June 9, 2026?",donald-trump-of-truth-social-posts-june-2-june-9-60-79,donald-trump-of-truth-social-posts-june-2-june-9,"Donald Trump # Truth Social posts June 2 - June 9, 2026?",live_monitoring,Elections,NotRelevant,10,76,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
73,0xc3d4691705e7faf887878a43c9de85300978b6ea6b06c0ca4d8345d75dc0b2ce,Will Trump admin release any more Epstein related files by January 31?,will-trump-admin-release-any-more-epstein-related-files-by-january-31-786,will-trump-admin-release-any-more-epstein-related-files-by-845,Will Trump admin release any more Epstein related files by...?,live_monitoring,Elections,NotRelevant,18,70,Y,Y,CLASSIFIER_MISS,official-action,administration document-release policy -- official conduct
74,0xc89de67b28caeca245a4a2cac8018d68b93de5edbc3b153234b0810704d1abd7,"Will Donald Trump post 120-139 Truth Social posts from March 27 to April 3, 2026?",donald-trump-of-truth-social-posts-march-27-april-3-120-139,donald-trump-of-truth-social-posts-march-27-april-3,"Donald Trump # Truth Social posts March 27 - April 3, 2026?",live_monitoring,Elections,NotRelevant,18,81,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
75,0xd0eaa0fdd25dddf9d3e3e959f3761b1fb2860077c6e330006ec71958755d229e,"Will Donald Trump post 120-139 Truth Social posts from February 17 to February 24, 2026?",donald-trump-of-truth-social-posts-february-17-february-24-120-139,donald-trump-of-truth-social-posts-february-17-february-24,"Donald Trump # Truth Social posts February 17 - February 24, 2026?",live_monitoring,Elections,NotRelevant,13,88,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
76,0xd4c2c5f0984232f36f8102d2f54cba44744a78afbe5f6309cf18e2a8d44c417c,duplicate Will Robert F. Kennedy Jr. be the first to leave the Trump Cabinet before 2027?,duplicate-will-robert-f-kennedy-jr-be-the-first-to-leave-the-trump-cabinet-before-2027,first-out-of-trump-cabinet-by-end-of-2026-duplicate,First out of Trump Cabinet by end of 2026? (Duplicate),live_monitoring,Elections,NotRelevant,12,89,Y,Y,CLASSIFIER_MISS,official-staffing,cabinet departure order (duplicate market)
77,0xd81d41fce13cf19021d62bc513faffb33ff79601aaa83692803153fa256464f2,Will Newsom announce presidential run by June 2025?,,,,live_monitoring,Elections,NotRelevant,10,51,N,N,CLASSIFIER_MISS,candidacy-declaration,declaring a run for president -- textbook Elections; title-only row
78,0xe0af5336ccf9e2d280c9b63b010a55f1734fc2b4bee50cd1f92686274d84b241,"Will Trump mention ""Joe/Joseph Biden"" 5 or more times during his CNN town hall?",will-trump-mention-joejoseph-biden-5-or-more-times-during-his-cnn-town-hall,trump-cnn-town-hall-will-he-mention,Trump CNN Town Hall: Will he mention...?,live_monitoring,Elections,NotRelevant,14,79,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a CNN town hall
79,0xe514eddef85af0b96b09ed6e33aec1d28c7b59709c8ca06fcfa4093ca7eebbb8,"Will Donald Trump post 180-199 Truth Social posts from February 10 to February 17, 2026?",donald-trump-of-truth-social-posts-february-10-february-17-180-199,donald-trump-of-truth-social-posts-february-10-february-17,"Donald Trump # Truth Social posts February 10 - February 17, 2026?",live_monitoring,Elections,NotRelevant,16,88,Y,Y,CLASSIFIER_MISS,truth-post-count,Truth Social post-count
80,0xedc1dcb14a793960b24348df8d2fb56510ccf115b916eab224446ac1b4ae9642,Will Trump admin release any more Epstein related files by January 10?,will-trump-admin-release-any-more-epstein-related-files-by-january-10,will-trump-admin-release-any-more-epstein-related-files-by-845,Will Trump admin release any more Epstein related files by...?,live_monitoring,Elections,NotRelevant,16,70,Y,Y,CLASSIFIER_MISS,official-action,administration document-release policy
81,0xf1a940979663f0a3b0d4d2ff3de00e8a4e83a3b886f64fd67ebb2577fd31f1fc,"Will Starmer say ""Mr. Speaker"" 30+ times during the next Prime Minister's Questions event?",will-starmer-say-mr-speaker-30-times-during-the-next-prime-ministers-questions-event-914,what-will-keir-starmer-say-at-the-next-prime-ministers-questions-event-785,What will Keir Starmer say at the next Prime Minister's Questions event?,live_monitoring,Elections,NotRelevant,14,90,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to PMQs
82,0x074b0d571395e427d72d641fbf163b902a4b9cd44b7cb3eff1b512f36c431267,Will Trump admin release any more Epstein related files by January 24?,will-trump-admin-release-any-more-epstein-related-files-by-january-24-671,will-trump-admin-release-any-more-epstein-related-files-by-816,Will Trump admin release any more Epstein related files by...?,live_monitoring,Geopolitics,NotRelevant,13,70,Y,Y,CLASSIFIER_MISS,official-action,administration document-release policy
83,0x0c8c6e76e58db526c86d410dd172b6ff4389d7e3b25c1470ec856eadcfbc7d5a,"Will Leavitt say ""Russia"" or ""Ukraine"" during the next White House Press Briefing?",will-leavitt-say-russia-or-ukraine-during-the-next-white-house-press-briefing-637,what-will-karoline-leavitt-say-during-the-next-white-house-press-briefing-199,What will Karoline Leavitt say during the next White House press briefing?,live_monitoring,Geopolitics,NotRelevant,13,82,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to WH press briefing; content itself geopolitics-adjacent
84,0x16c3cf8cc82b201e7acbad98afea9f9f54a8e114d0b2060c8e2a9b5770842b8f,"Will Karoline Leavitt say ""President"" 50+ times during next White House press briefing?",will-karoline-leavitt-say-president-50-times-during-next-white-house-press-briefing-782,what-will-karoline-leavitt-say-during-next-white-house-press-briefing-121,What will Karoline Leavitt say during next White House press briefing?,live_monitoring,Geopolitics,NotRelevant,10,87,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to WH press briefing
85,0x234a3f45e7e5f9bfb2251351b06fdbe764e69261c6a8ba0ac76b398ccbcb491d,"Will Trump say ""Million"" or ""Billion"" or ""Trillion"" 12+ times during Saudi Investment Forum on November 19?",will-trump-say-million-or-billion-or-trillion-12-times-during-saudi-investment-forum-on-november-19,what-will-trump-say-during-saudi-investment-forum-on-november-19,What will Trump say during Saudi Investment Forum on November 19?,live_monitoring,Geopolitics,NotRelevant,7,107,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to Saudi Investment Forum -- diplomatic appearance
86,0x2ed774d0018504eecdb36868546049159b0fe8fdfb6135b9953ac813c0fdeb60,"Will Jerome Powell say ""Russia"" during the May meeting?",will-jerome-powell-say-russia-during-the-may-meeting,what-will-powell-say-during-may-press-conference,What will Powell say during May Press Conference?,live_monitoring,Geopolitics,NotRelevant,16,55,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to an official Fed meeting; Powell's political-capacity conduct as a government official (boundary: not an elected figure)
87,0x3cde4dc6946ec2e69bd8bd377745c983264bc598910191e439a32a224bb8469b,Will Ukraine win?,will-ukraine-win,euro-2024-ukraine-vs-belgium,Euro 2024: Ukraine vs. Belgium,live_monitoring,Geopolitics,NotRelevant,16,17,Y,Y,STORED_LABEL_ERROR,sports-keyword-collision,"Euro 2024 soccer match (Ukraine vs Belgium); 'Ukraine' matched as a country-name keyword, market is sports"
88,0x4a4557265675ef9d5f92e84ebf0ae5dcddb515e6adb8cc3902196c2395457a87,"Will Zelenskyy post 120-139 posts from April 3 to April 10, 2026?",zelenskyy-of-tweets-april-3-april-10-2026-120-139,zelenskyy-of-tweets-april-3-april-10-2026,"Zelenskyy # posts April 3 - April 10, 2026?",live_monitoring,Geopolitics,NotRelevant,17,65,Y,Y,CLASSIFIER_MISS,post-count,head-of-state post-count -- conduct in office (Zelenskyy)
89,0x4f6478783f99c86a2bbdadd520e407a8b8b6dbd62dbada09126d0dfab29ee99d,"UK Cabinet Minister resigns by May 31, 2026?",uk-cabinet-minister-resigns-by-may-31-2026,uk-cabinet-minister-resigns-in-february,UK Cabinet Minister resigns by...?,live_monitoring,Geopolitics,NotRelevant,18,44,Y,Y,CLASSIFIER_MISS,official-staffing/geo,UK government minister resignation -- official conduct of a foreign government
90,0x60c5e3132a0c1ef1ce3af030de3da410c90b00b5c17b849155b2a4cb78d51e0b,"Will Trump say ""Crypto / Bitcoin"" during King Charles visit?",will-trump-say-crypto-bitcoin-during-king-charles-visit,what-will-trump-say-during-bilateral-events-with-king-charles,What will Trump say during bilateral events with King Charles? ,live_monitoring,Geopolitics,NotRelevant,16,60,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to a diplomatic state visit (King Charles)
91,0x63175fef7cdb88dbd028083cc3395422aecae12a971ea57042d7f4b6cd5789c8,Will Trump meet with Jerome Powell by July 31?,will-trump-meet-with-jerome-powell-by-july-31,will-trump-meet-with-jerome-powell-by-july-31,Will Trump meet with Jerome Powell by July 31?,live_monitoring,Geopolitics,NotRelevant,11,46,Y,Y,CLASSIFIER_MISS,official-meeting,presidential official meeting
92,0x6338304dbe9b178decd25c8c2f448d2efbfb810fa5aff4a96512912e56bcff78,Trump eliminates capital gains tax on crypto in 2025?,trump-eliminates-capital-gains-tax-on-crypto-in-2025,trump-eliminates-capital-gains-tax-on-crypto-in-2025,Trump eliminates capital gains tax on crypto by ___?,live_monitoring,Geopolitics,NotRelevant,16,53,Y,Y,CLASSIFIER_MISS,policy-action,presidential tax-policy action
93,0x71ea693fbb162922fd59003cba9eef22b631432d02ead9db49879dcdc62df399,Will Trump's joint address to Congress be 80 min or more?,will-trumps-joint-address-to-congress-be-80-min-or-more,how-long-will-trumps-state-of-the-union-be,How long will Trump's address to Congress be?,live_monitoring,Geopolitics,NotRelevant,7,57,Y,Y,CLASSIFIER_MISS,speech-length,joint address to Congress -- appearance scoped to a core political event
94,0x78fad93c8b41a222b40dbc440d492a97b52df0e0577ae9a3dfcec99705ca147a,Internet access restored in Iran by Friday?,internet-access-restored-in-iran-by-friday-263,internet-access-restored-in-iran-by-friday-263,Internet access restored in Iran by Friday?,live_monitoring,Geopolitics,NotRelevant,9,43,Y,Y,CLASSIFIER_MISS,geopolitics-conflict,international/state-action event (Iran connectivity)
95,0x7ec0ac0fcccfda0982c1a3930620c401801e94853d4f43b058270fb95f1b268b,Will Trump be photographed every day this week? (5/18-5/24),will-trump-be-photographed-every-day-this-week-518-524,will-trump-be-photographed-every-day-this-week-518-524,Will Trump be photographed every day this week? (5/18-5/24),live_monitoring,Geopolitics,NotRelevant,12,59,Y,Y,GENUINELY_AMBIGUOUS,personal-appearance,being photographed is not conduct/policy; boundary personal-vs-official
96,0x7eccc83abc15326732bfb878eb03cebd3a1eca6164e999b0dfda919169070f9d,"Will Donald Trump dance on May 18, 2026?",will-donald-trump-dance-on-may-18-2026,will-trump-dance-on,Will Trump dance on...?,live_monitoring,Geopolitics,NotRelevant,15,40,Y,Y,STORED_LABEL_ERROR,personal/entertainment,"novelty/personal market, not conduct"
97,0x81f5da084e14e2486f01ca1bd434b7116c4a9cea597799a2e3d5084826bb6544,Will Trump meet with Lai Ching-te in 2025?,will-trump-meet-with-lai-ching-te-in-2025,who-will-trump-meet-with-in-2025,Who will Trump meet with in 2025?,live_monitoring,Geopolitics,NotRelevant,13,42,Y,Y,CLASSIFIER_MISS,diplomatic-meeting,presidential meeting with a foreign head of state (Taiwan)
98,0x8bacebc4b3c781cc779488a797c245e58c7214b6da6e77eba55c53d4ca270ea1,Will IR Iran win on 2025-10-14?,fif-irn-tan-2025-10-14-irn,fif-irn-tan-2025-10-14,IR Iran vs. Tanzania,live_monitoring,Geopolitics,NotRelevant,18,31,Y,Y,STORED_LABEL_ERROR,sports-keyword-collision,"FIFA soccer match (Iran vs Tanzania); 'Iran' matched as a country-name keyword, market is sports"
99,0x8f16479052592742f98dfa9603eddb75ff97752e5f73f194f2765632a95ada26,U.S. sovereign wealth fund operational in Trump's first 100 days?,will-us-sovereign-wealth-fund-operational-in-trumps-first-100-days,will-us-sovereign-wealth-fund-operational-in-trumps-first-100-days,U.S. sovereign wealth fund operational in Trump's first 100 days?,live_monitoring,Geopolitics,NotRelevant,5,65,Y,Y,CLASSIFIER_MISS,state-economic-action,federal government economic-policy initiative -- 'state action'
100,0xf86df821bd41f20c0b67674bfc03a7db9408bc336103ffdf9675cb8e313797f1,Will the US federal government take a stake in NVIDIA Corporation?,will-the-us-federal-government-take-a-stake-in-nvidia-corporation,which-companies-will-the-us-take-a-stake-in,Which companies will the US take a stake in?,live_monitoring,Geopolitics,NotRelevant,14,66,Y,Y,CLASSIFIER_MISS,state-economic-action,federal government equity-stake action -- 'state action'
